	version	model	descr	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	n_thresh	thresh_i	oy_i	on_i	i_value
114	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	140000	2022-05-06 14:00:00	2022-05-06 14:00:00	2022-05-06	0	2022-05-06 13:30:01	2022-05-06 14:30:00	DPT_ENS_FREQ_ge273	K	Z2	DPT	NA	Z2	ADPSFC	CONUS	BILIN	4	==0.10000	>=273	-9999	-9999	PCT	4210	10	0	29	225	1
115	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	TMP_ENS_FREQ_ge288	K	P850	TMP	NA	P850	ADPUPA	CONUS	BILIN	4	==0.10000	>=288	-9999	-9999	PCT	58	10	0	1	35	1
116	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	WIND_ENS_FREQ_ge5	m/s	P850	WIND	NA	P850	ADPUPA	CONUS	BILIN	4	==0.10000	>=5	-9999	-9999	PCT	58	10	0	0	4	1
117	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	WIND_ENS_FREQ_ge10	m/s	P850	WIND	NA	P850	ADPUPA	CONUS	BILIN	4	==0.10000	>=10	-9999	-9999	PCT	58	10	0	2	18	1
118	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	WIND_ENS_FREQ_ge15	m/s	P850	WIND	NA	P850	ADPUPA	CONUS	BILIN	4	==0.10000	>=15	-9999	-9999	PCT	58	10	0	2	39	1
119	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	WIND_ENS_FREQ_ge10	m/s	P700	WIND	NA	P700	ADPUPA	CONUS	BILIN	4	==0.10000	>=10	-9999	-9999	PCT	64	10	0	0	16	1
120	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	WIND_ENS_FREQ_ge15	m/s	P700	WIND	NA	P700	ADPUPA	CONUS	BILIN	4	==0.10000	>=15	-9999	-9999	PCT	64	10	0	2	33	1
121	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	WIND_ENS_FREQ_ge20	m/s	P700	WIND	NA	P700	ADPUPA	CONUS	BILIN	4	==0.10000	>=20	-9999	-9999	PCT	64	10	0	1	48	1
122	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	WIND_ENS_FREQ_ge15	m/s	P500	WIND	NA	P500	ADPUPA	CONUS	BILIN	4	==0.10000	>=15	-9999	-9999	PCT	64	10	0	0	26	1
123	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	WIND_ENS_FREQ_ge21	m/s	P500	WIND	NA	P500	ADPUPA	CONUS	BILIN	4	==0.10000	>=21	-9999	-9999	PCT	64	10	0	1	34	1
124	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	WIND_ENS_FREQ_ge26	m/s	P500	WIND	NA	P500	ADPUPA	CONUS	BILIN	4	==0.10000	>=26	-9999	-9999	PCT	64	10	0	1	40	1
125	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	HGT_ENS_FREQ_ge5400	gpm	P500	HGT	NA	P500	ADPUPA	CONUS	BILIN	4	==0.10000	>=5400	-9999	-9999	PCT	64	10	0	0	0	1
126	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	TMP_ENS_FREQ_ge293	K	P850	TMP	NA	P850	ADPUPA	CONUS	BILIN	4	==0.10000	>=293	-9999	-9999	PCT	58	10	0	0	52	1
127	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	HGT_ENS_FREQ_ge5600	gpm	P500	HGT	NA	P500	ADPUPA	CONUS	BILIN	4	==0.10000	>=5600	-9999	-9999	PCT	64	10	0	0	6	1
128	V10.1.1	RRFS_GEFS_GF.SPP.SPPT_prob	NA	120000	2022-05-06 12:00:00	2022-05-06 12:00:00	2022-05-06	0	2022-05-06 11:30:01	2022-05-06 12:30:00	HGT_ENS_FREQ_ge5880	gpm	P500	HGT	NA	P500	ADPUPA	CONUS	BILIN	4	==0.10000	>=5880	-9999	-9999	PCT	64	10	0	1	63	1
